団体名,正式名称/公益性,URL,親組織/設立者,所在地,年間助成額目安,主要プログラム名,対象分野キーワード,主対象,必要書類概要,締切目安/確認日,備考
武田科学振興財団,公益財団法人,https://www.takeda-sci.or.jp,武田薬品工業,大阪府,"2,708百万円(JFC 2022)","生命科学研究助成/医学系研究助成/海外研究留学助成/医学部博士課程奨学助成","生命科学;医学;薬学;基礎医学;臨床医学","大学院生;若手PI;ポスドク","Web申請;研究計画;業績;推薦/所属長承認;留学先受入証明等","各制度別(公式要確認)","博士課程奨学と海外研究留学が若手向き"
上原記念生命科学財団,公益財団法人,https://www.ueharazaidan.or.jp,大正製薬・上原家,東京都,"1,463百万円(JFC 2022)","研究助成金/研究奨励金/海外留学助成/来日研究生助成","生命科学;医学;薬学","若手研究者;ポスドク;留学生","申請書;研究計画;業績;推薦書;所属機関承認","例年夏-秋","生命科学系で大型"
稲盛財団,公益財団法人,https://www.inamori-f.or.jp,稲盛和夫/京セラ,京都府,"987百万円(JFC 2022)","稲盛研究助成 はぐくむ/たかめる;稲盛科学研究機構フェローシップ","自然科学;人文社会;学際","若手研究者;博士後期含む場合あり","Web申請;研究概要;研究計画;業績;推薦/同意","例年春","40歳以下等の若手枠に注目"
中谷財団,公益財団法人,https://www.nakatani-foundation.jp,中谷医工計測技術振興,東京都,"712百万円(JFC 2022)","技術開発研究助成/調査研究助成/留学助成","医工計測;生体計測;医療工学;教育","若手研究者;大学院生支援あり","申請書;研究計画;予算;業績;推薦/所属承認","制度別","医工計測に特化"
三菱財団,公益財団法人,https://www.mitsubishi-zaidan.jp,三菱グループ,東京都,"608百万円(JFC 2022)","自然科学研究助成/人文科学研究助成/社会福祉事業・研究助成","自然科学;人文;社会福祉","研究者;若手可","マイページ申請;申込書;研究内容;予算;業績","2026自然科学:2026-02-02(既存DB)","大学院生単独は要資格確認"
内藤記念科学振興財団,公益財団法人,https://www.naito-f.or.jp,内藤家/エーザイ系,東京都,"583百万円(JFC 2022)","内藤記念科学奨励金・研究助成/若手ステップアップ/海外留学助成","自然科学;生命科学;医学","若手研究者;ポスドク","申請書;研究計画;業績;推薦書;所属長承認","例年春-秋","生命科学若手の定番"
村田学術振興・教育財団,公益財団法人,https://corporate.murata.com/ja-jp/group/zaidan,村田製作所,京都府,"551百万円(JFC 2022)","研究助成/研究会助成/海外派遣援助","電子工学;情報;材料;エネルギー;人文社会","研究者;大学院生は要確認","申請書;研究計画;業績;推薦/所属承認","例年春","工学・電子材料系"
セコム科学技術振興財団,公益財団法人,https://www.secomzaidan.jp,セコム,東京都,"547百万円(JFC 2022)","一般研究助成/特定領域研究助成","安全安心;防災;医療;情報;社会システム","研究者;若手可","Web申請;研究計画;予算;業績;倫理確認","制度別","大型・複数年"
旭硝子財団,公益財団法人,https://www.af-info.or.jp,AGC,東京都,"499百万円(JFC 2022)","研究助成/サステイナブルな未来への研究助成/奨学","材料;環境;生命;情報;人文社会","若手研究者;大学院生奨学","申請書;研究計画;業績;推薦/所属承認","制度別","採択者公開あり"
市村清新技術財団,公益財団法人,https://www.sgkz.or.jp,リコー創業者 市村清,東京都,"462百万円(JFC 2022)","新技術開発助成/植物研究助成","技術開発;植物;産業技術","研究者;技術者","申請書;技術説明;事業化計画;予算","制度別","企業化寄り"
持田記念医学薬学振興財団,公益財団法人,https://www.mochida.co.jp/zaidan/,持田製薬,東京都,"446百万円(JFC 2022)","研究助成金/留学補助金","医学;薬学;バイオ","若手研究者;ポスドク","申請書;研究計画;業績;推薦書","例年春-夏","医学薬学"
住友財団,公益財団法人,https://www.sumitomo.or.jp,住友グループ,東京都,"409百万円(JFC 2022)","基礎科学研究助成/環境研究助成/アジア諸国における日本関連研究助成","基礎科学;環境;日本研究;アジア","研究者;若手可","Web申請;研究計画;予算;業績;推薦/所属情報","2026基礎科学:2026-04-01(JFC掲載)","分野横断"
中外創薬科学財団,公益財団法人,https://www.chugai-pharm.co.jp/foundation/,中外製薬,東京都,"373百万円(JFC 2022)","研究助成/海外留学助成","生命科学;創薬;医学薬学","若手研究者;ポスドク","申請書;研究計画;業績;推薦書","制度別","創薬・医薬"
テルモ生命科学振興財団,公益財団法人,https://www.terumozaidan.or.jp,テルモ,東京都,"371百万円(JFC 2022)","研究開発助成/海外留学助成","生命科学;医療機器;看護;医工学","若手研究者;ポスドク","申請書;研究計画;業績;推薦書","制度別","医療機器・生命科学"
トヨタ財団,公益財団法人,https://www.toyotafound.or.jp,トヨタ自動車,東京都,"367百万円(JFC 2022)","研究助成プログラム/国際助成/特定課題","社会科学;人文;地域;国際;先端技術と社会","大学院生含む研究チーム;若手研究者","企画書;研究計画;予算;チーム体制;推薦不要の場合あり","2026研究:2026-06-05(CANPAN/公式公募)","人社系・学際に強い"
博報堂教育財団,公益財団法人,https://www.hakuhodofoundation.or.jp,博報堂,東京都,"352百万円(JFC 2022)","児童教育実践/研究助成","教育;児童;言語;文化","研究者;大学院生は要確認","申請書;研究計画;予算;所属情報","制度別","教育系"
船井情報科学振興財団,公益財団法人,https://funaifoundation.jp,船井電機,東京都,"307百万円(JFC 2022)","研究奨励賞/留学奨学金/研究助成","情報科学;工学;AI;情報通信","若手研究者;大学院生;ポスドク","申請書;業績;研究計画;推薦書","制度別","情報科学若手"
キヤノン財団,公益財団法人,https://jp.foundation.canon,キヤノン,東京都,"290百万円(JFC 2022)","善き未来をひらく科学技術/産業基盤の創生","科学技術;環境;材料;情報;社会課題","研究者;若手可","申請書;研究計画;予算;業績;所属承認","例年春-夏","大型研究"
天田財団,公益財団法人,https://www.amada-f.or.jp,アマダ,神奈川県,"273百万円(JFC 2022)","金属等の塑性加工・レーザ加工研究助成","加工;材料;機械;レーザ","若手研究者;大学院生は推薦枠確認","申請書;研究計画;業績;推薦/所属承認","制度別","ものづくり"
飯島藤十郎記念食品科学振興財団,公益財団法人,https://www.iijima-kinenzaidan.or.jp,山崎製パン,東京都,"225百万円(JFC 2022)","学術研究助成","食品科学;栄養;農学","研究者;若手可","申請書;研究計画;予算;業績;推薦","例年夏","食品科学"
日本科学協会,公益財団法人,https://www.jss.or.jp,笹川系,東京都,"209百万円(JFC 2022)","笹川科学研究助成","人文社会;自然科学;海洋;実践研究","大学院生;若手研究者","申請書;研究計画;予算;指導教員確認;業績","例年秋","大学院生に適合度高"
池谷科学技術振興財団,公益財団法人,https://www.iketani-zaidan.or.jp,池谷家,東京都,"203百万円(JFC 2022)","研究助成/国際交流等助成","先端材料;科学技術","若手研究者","申請書;研究計画;予算;業績;推薦","例年春","材料・先端技術"
本庄国際奨学財団,公益財団法人,https://www.hisf.or.jp,伊藤園創業者 本庄家,東京都,"202百万円(JFC 2022)","日本人大学院生奨学金/外国人留学生奨学金","全分野","博士課程;修士;留学生","申請書;研究計画;成績;推薦書;面接","例年秋","生活費型奨学金"
スズキ財団,公益財団法人,https://www.suzukifound.jp,スズキ,静岡県,"194百万円(JFC 2022)","科学技術研究助成/課題提案型研究助成","機械;移動体;環境;工学","若手研究者","申請書;研究計画;予算;業績","制度別","工学"
電気通信普及財団,公益財団法人,https://www.taf.or.jp,電気通信業界,東京都,"192百万円(JFC 2022)","研究調査助成/海外渡航旅費援助","情報通信;社会;法制度;メディア","大学院生;若手研究者","申請書;研究計画;予算;推薦/所属情報","制度別","通信政策・ICT"
岩谷直治記念財団,公益財団法人,https://www.iwatani-foundation.or.jp,岩谷産業,東京都,"188百万円(JFC 2022)","岩谷科学技術研究助成","エネルギー;環境;水素;材料","若手研究者","申請書;研究計画;予算;業績;推薦","例年夏-秋","水素・エネルギー"
立石科学技術振興財団,公益財団法人,https://www.tateisi-f.org,オムロン,京都府,"184百万円(JFC 2022)","研究助成/国際交流助成","エレクトロニクス;情報;人間機械調和","若手研究者;大学院生渡航","申請書;研究計画;業績;推薦書","制度別","情報・制御"
野村財団,公益財団法人,https://www.nomurafoundation.or.jp,野村グループ,東京都,"177百万円(JFC 2022)","社会科学助成/芸術文化/外国人留学生奨学","経済;金融;法;政治;社会科学","大学院生;若手研究者;留学生","申請書;研究計画;予算;推薦書","制度別","社会科学"
三島海雲記念財団,公益財団法人,https://www.mishima-kaiun.or.jp,カルピス創業者 三島海雲,東京都,"140百万円(2024推定)","学術研究奨励金","自然科学;人文科学;食品;アジア研究","若手研究者","申請書;研究計画;業績;推薦","例年秋","自然/人文の若手"
日本フィランソロピック財団,公益財団法人,https://np-foundation.or.jp,寄付基金プラットフォーム,東京都,"113百万円(2024推定)","がん研究フロンティア基金/疾患別基金","がん;難病;社会課題","若手研究者;NPO;研究機関","基金別申請書;研究計画;予算;団体情報","基金別","テーマ基金多数"
小野薬品がん・免疫・神経研究財団,公益財団法人,https://www.ono.co.jp/zaidan/,小野薬品工業,大阪府,"100百万円(2024推定)","研究助成/海外留学助成","がん;免疫;神経;創薬","若手研究者;ポスドク","申請書;研究計画;業績;推薦書","制度別","疾患・創薬"
大川情報通信基金,公益財団法人,https://www.okawa-foundation.or.jp,大川功,東京都,"100百万円(2024推定)","研究助成/海外発表助成","情報通信;AI;情報科学","若手研究者;大学院生渡航","申請書;研究計画;業績;推薦","制度別","ICT若手"
松前国際友好財団,公益財団法人,https://www.mif-japan.org,松前重義,東京都,"要確認","Research Fellowship Program","全分野;国際共同;来日研究","海外博士号取得者;ポスドク相当","申請書;研究計画;業績;受入承諾書;推薦書","例年6月末頃","海外研究者の来日"
CWAJ,一般社団/奨学団体,https://cwaj.org,College Women's Association of Japan,東京都,"要確認","Graduate Scholarship for Non-Japanese Women to Study in Japan/海外留学大学院女子奨学金","全分野;女性;国際","大学院生;博士課程","申請書;研究計画;成績;推薦書;語学等","例年秋","女性大学院生向け"
フルブライト・ジャパン,日米教育委員会,https://www.fulbright.jp,日米両政府,東京都,"要確認","Fulbright Graduate Study/Researcher Program","全分野;米国留学;国際共同","大学院生;若手研究者;ポスドク相当","オンライン申請;研究/留学計画;推薦書;成績;語学","例年春","米国留学・研究"
Japan Foundation,独立行政法人,https://www.jpf.go.jp,外務省所管,東京都,"要確認","日本研究フェローシップ/日本語教育・文化交流助成","日本研究;人文社会;文化;日本語教育","博士課程;ポスドク;研究者","申請書;研究計画;業績;推薦;受入確認","制度別","国際日本研究"
Canon Foundation in Europe,海外日系財団,https://www.canonfoundation.org,Canon Europe,欧州,"要確認","Research Fellowships","全分野;欧州-日本交流","博士号取得者;ポスドク;研究者","申請書;CV;研究計画;受入機関;推薦","例年9月頃","日欧双方向"
